"Dyntaxa-ID";"Svenskt namn";"Habitat";"Region(er)"
"105058";"glansdyngbagge";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"102176";"heddyngbagge";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"102709";"jorddyngbagge";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"105033";"slät dyngbagge";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"105039";"smådyngbagge";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"100334";"fyrfläckig dyngbagge";"6120 Sandstäpp";"Kontinental region (CON)"
"105046";"mörk vårdyngbagge";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"105053";"nordlig dyngbagge";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"105050";"rödbukig dyngbagge";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"100333";"snyltdyngbagge";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"101262";"daggborre";"6120 Sandstäpp";"Kontinental region (CON)"
"100708";"månhornsbagge";"6120 Sandstäpp";"Kontinental region (CON)"
"100708";"månhornsbagge";"6270 Silikatgräsmarker";"Kontinental region (CON)"
"101453";"krokhorndyvel";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"101456";"rakhorndyvel";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"101458";"mindre horndyvel";"6270 Silikatgräsmarker";"Kontinental region (CON)"
"103832";"";"3260 Mindre vattendrag";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"101303";"svart majbagge";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"225944";"";"3210 Större vattendrag";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"225944";"";"3260 Mindre vattendrag";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"225961";"";"3210 Större vattendrag";"Boreal region (BOR); Kontinental region (CON)"
"225969";"";"3210 Större vattendrag";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"225969";"";"3260 Mindre vattendrag";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"225972";"";"3210 Större vattendrag";"Alpin region (ALP); Boreal region (BOR)"
"225972";"";"3260 Mindre vattendrag";"Alpin region (ALP); Boreal region (BOR)"
"225975";"åsandslända";"3210 Större vattendrag";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"225975";"åsandslända";"3260 Mindre vattendrag";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"226118";"vattenfis";"3210 Större vattendrag";"Boreal region (BOR); Kontinental region (CON)"
"103110";"mosandbi";"9060 Åsbarrskog";"Boreal region (BOR)"
"103111";"sobersandbi";"9060 Åsbarrskog";"Boreal region (BOR)"
"103097";"videsandbi";"9060 Åsbarrskog";"Boreal region (BOR)"
"103114";"sälgsandbi";"9060 Åsbarrskog";"Boreal region (BOR)"
"103078";"vårsidenbi";"9060 Åsbarrskog";"Boreal region (BOR)"
"215987";"svart hedfly";"4060 Alpina rishedar";"Alpin region (ALP)"
"101070";"silversmygare";"6210 Kalkgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"101070";"silversmygare";"6230 Stagg-gräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"101070";"silversmygare";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201018";"skogsvisslare";"6210 Kalkgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201018";"skogsvisslare";"6230 Stagg-gräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201018";"skogsvisslare";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201018";"skogsvisslare";"6510 Slåtterängar i låglandet";"Boreal region (BOR); Kontinental region (CON)"
"201018";"skogsvisslare";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"201018";"skogsvisslare";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"201019";"smultronvisslare";"6210 Kalkgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201019";"smultronvisslare";"6230 Stagg-gräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201019";"smultronvisslare";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201019";"smultronvisslare";"6510 Slåtterängar i låglandet";"Boreal region (BOR); Kontinental region (CON)"
"201019";"smultronvisslare";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"201019";"smultronvisslare";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"102923";"violettkantad guldvinge";"6230 Stagg-gräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"102923";"violettkantad guldvinge";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"102923";"violettkantad guldvinge";"6510 Slåtterängar i låglandet";"Boreal region (BOR); Kontinental region (CON)"
"102923";"violettkantad guldvinge";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"102923";"violettkantad guldvinge";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"201129";"vitfläckig guldvinge";"6230 Stagg-gräsmarker";"Boreal region (BOR)"
"201129";"vitfläckig guldvinge";"6270 Silikatgräsmarker";"Boreal region (BOR)"
"201129";"vitfläckig guldvinge";"6510 Slåtterängar i låglandet";"Boreal region (BOR)"
"201129";"vitfläckig guldvinge";"6530 Lövängar";"Boreal region (BOR)"
"201129";"vitfläckig guldvinge";"9070 Trädklädd betesmark";"Boreal region (BOR)"
"201155";"fjällvickerblåvinge";"6170 Alpina kalkgräsmarker";"Alpin region (ALP)"
"201148";"midsommarblåvinge";"6210 Kalkgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201148";"midsommarblåvinge";"6230 Stagg-gräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201148";"midsommarblåvinge";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201148";"midsommarblåvinge";"6510 Slåtterängar i låglandet";"Boreal region (BOR); Kontinental region (CON)"
"201148";"midsommarblåvinge";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"201148";"midsommarblåvinge";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"100399";"turkos blåvinge";"6230 Stagg-gräsmarker";"Boreal region (BOR)"
"100399";"turkos blåvinge";"6270 Silikatgräsmarker";"Boreal region (BOR)"
"100399";"turkos blåvinge";"6510 Slåtterängar i låglandet";"Boreal region (BOR)"
"100399";"turkos blåvinge";"6530 Lövängar";"Boreal region (BOR)"
"100399";"turkos blåvinge";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"100770";"mindre blåvinge";"6210 Kalkgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201143";"ängsblåvinge";"6230 Stagg-gräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201143";"ängsblåvinge";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201143";"ängsblåvinge";"6510 Slåtterängar i låglandet";"Boreal region (BOR); Kontinental region (CON)"
"201143";"ängsblåvinge";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"201143";"ängsblåvinge";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"201150";"brun blåvinge";"6210 Kalkgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201150";"brun blåvinge";"6230 Stagg-gräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201150";"brun blåvinge";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201150";"brun blåvinge";"6510 Slåtterängar i låglandet";"Boreal region (BOR); Kontinental region (CON)"
"201150";"brun blåvinge";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"201150";"brun blåvinge";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"101260";"svartfläckig blåvinge";"6210 Kalkgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201145";"väpplingblåvinge";"6210 Kalkgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201080";"arktisk pärlemorfjäril";"4060 Alpina rishedar";"Alpin region (ALP)"
"201080";"arktisk pärlemorfjäril";"6150 Alpina silikatgräsmarker";"Alpin region (ALP)"
"201080";"arktisk pärlemorfjäril";"6170 Alpina kalkgräsmarker";"Alpin region (ALP)"
"201076";"prydlig pärlemorfjäril";"6230 Stagg-gräsmarker";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"201076";"prydlig pärlemorfjäril";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201076";"prydlig pärlemorfjäril";"6510 Slåtterängar i låglandet";"Boreal region (BOR); Kontinental region (CON)"
"201076";"prydlig pärlemorfjäril";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"201076";"prydlig pärlemorfjäril";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"201073";"fjällpärlemorfjäril";"4060 Alpina rishedar";"Alpin region (ALP)"
"201073";"fjällpärlemorfjäril";"6150 Alpina silikatgräsmarker";"Alpin region (ALP)"
"201073";"fjällpärlemorfjäril";"6170 Alpina kalkgräsmarker";"Alpin region (ALP)"
"201075";"brunfläckig pärlemorfjäril";"6230 Stagg-gräsmarker";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"201075";"brunfläckig pärlemorfjäril";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201075";"brunfläckig pärlemorfjäril";"6510 Slåtterängar i låglandet";"Boreal region (BOR); Kontinental region (CON)"
"201075";"brunfläckig pärlemorfjäril";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"201075";"brunfläckig pärlemorfjäril";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"100977";"hedpärlemorfjäril";"6210 Kalkgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"100977";"hedpärlemorfjäril";"6230 Stagg-gräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"100977";"hedpärlemorfjäril";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201068";"skogspärlemorfjäril";"6230 Stagg-gräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201068";"skogspärlemorfjäril";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201068";"skogspärlemorfjäril";"6510 Slåtterängar i låglandet";"Boreal region (BOR); Kontinental region (CON)"
"201068";"skogspärlemorfjäril";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"201068";"skogspärlemorfjäril";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"201067";"ängspärlemorfjäril";"6230 Stagg-gräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201067";"ängspärlemorfjäril";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201067";"ängspärlemorfjäril";"6510 Slåtterängar i låglandet";"Boreal region (BOR); Kontinental region (CON)"
"201067";"ängspärlemorfjäril";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"201067";"ängspärlemorfjäril";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"102440";"lappnätfjäril";"4060 Alpina rishedar";"Alpin region (ALP)"
"102440";"lappnätfjäril";"6150 Alpina silikatgräsmarker";"Alpin region (ALP)"
"102440";"lappnätfjäril";"6170 Alpina kalkgräsmarker";"Alpin region (ALP)"
"201086";"skogsnätfjäril";"6510 Slåtterängar i låglandet";"Boreal region (BOR); Kontinental region (CON)"
"201086";"skogsnätfjäril";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"201086";"skogsnätfjäril";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"102922";"ängsnätfjäril";"6210 Kalkgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"102922";"ängsnätfjäril";"6230 Stagg-gräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"102922";"ängsnätfjäril";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"100679";"brun gräsfjäril";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"201104";"slåttergräsfjäril";"6210 Kalkgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201104";"slåttergräsfjäril";"6230 Stagg-gräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201104";"slåttergräsfjäril";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201104";"slåttergräsfjäril";"6510 Slåtterängar i låglandet";"Boreal region (BOR); Kontinental region (CON)"
"201104";"slåttergräsfjäril";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"201104";"slåttergräsfjäril";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"102409";"högnordisk höfjäril";"6170 Alpina kalkgräsmarker";"Alpin region (ALP)"
"201048";"fjällhöfjäril";"6170 Alpina kalkgräsmarker";"Alpin region (ALP)"
"201037";"ängsvitvinge";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"201037";"ängsvitvinge";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"201036";"skogsvitvinge";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"201036";"skogsvitvinge";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"101037";"gullvivefjäril";"6510 Slåtterängar i låglandet";"Boreal region (BOR); Kontinental region (CON)"
"101037";"gullvivefjäril";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"101037";"gullvivefjäril";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"215322";"guldfransmott";"6170 Alpina kalkgräsmarker";"Alpin region (ALP)"
"102366";"ängsmetallvinge";"6210 Kalkgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"102366";"ängsmetallvinge";"6230 Stagg-gräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"102366";"ängsmetallvinge";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"102366";"ängsmetallvinge";"6510 Slåtterängar i låglandet";"Boreal region (BOR); Kontinental region (CON)"
"102366";"ängsmetallvinge";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"102366";"ängsmetallvinge";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"201161";"fjällbastardsvärmare";"4060 Alpina rishedar";"Alpin region (ALP)"
"201164";"sexfläckig bastardsvärmare";"6210 Kalkgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201164";"sexfläckig bastardsvärmare";"6230 Stagg-gräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201164";"sexfläckig bastardsvärmare";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"201164";"sexfläckig bastardsvärmare";"6510 Slåtterängar i låglandet";"Boreal region (BOR); Kontinental region (CON)"
"201164";"sexfläckig bastardsvärmare";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"201164";"sexfläckig bastardsvärmare";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"102018";"bredbrämad bastardsvärmare";"6230 Stagg-gräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"102018";"bredbrämad bastardsvärmare";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"102018";"bredbrämad bastardsvärmare";"6510 Slåtterängar i låglandet";"Boreal region (BOR); Kontinental region (CON)"
"102018";"bredbrämad bastardsvärmare";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"102018";"bredbrämad bastardsvärmare";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"102019";"klubbsprötad bastardsvärmare";"6230 Stagg-gräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"102019";"klubbsprötad bastardsvärmare";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"102019";"klubbsprötad bastardsvärmare";"6510 Slåtterängar i låglandet";"Boreal region (BOR); Kontinental region (CON)"
"102019";"klubbsprötad bastardsvärmare";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"102019";"klubbsprötad bastardsvärmare";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"102020";"smalsprötad bastardsvärmare";"6230 Stagg-gräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"102020";"smalsprötad bastardsvärmare";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"102020";"smalsprötad bastardsvärmare";"6510 Slåtterängar i låglandet";"Boreal region (BOR); Kontinental region (CON)"
"102020";"smalsprötad bastardsvärmare";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"102020";"smalsprötad bastardsvärmare";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"102021";"mindre bastardsvärmare";"6210 Kalkgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"102021";"mindre bastardsvärmare";"6230 Stagg-gräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"102021";"mindre bastardsvärmare";"6270 Silikatgräsmarker";"Boreal region (BOR); Kontinental region (CON)"
"102021";"mindre bastardsvärmare";"6510 Slåtterängar i låglandet";"Boreal region (BOR); Kontinental region (CON)"
"102021";"mindre bastardsvärmare";"6530 Lövängar";"Boreal region (BOR); Kontinental region (CON)"
"102021";"mindre bastardsvärmare";"9070 Trädklädd betesmark";"Boreal region (BOR); Kontinental region (CON)"
"226040";"";"3260 Mindre vattendrag";"Alpin region (ALP); Boreal region (BOR)"
"208276";"myrflickslända";"3160 Myrsjöar";"Boreal region (BOR)"
"208282";"fjällmosaikslända";"3160 Myrsjöar";"Alpin region (ALP); Boreal region (BOR)"
"208284";"gungflymosaikslända";"3160 Myrsjöar";"Boreal region (BOR); Kontinental region (CON)"
"208308";"myrtrollslända";"3160 Myrsjöar";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"226038";"";"3260 Mindre vattendrag";"Alpin region (ALP)"
"226009";"";"3210 Större vattendrag";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"226009";"";"3260 Mindre vattendrag";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"226011";"";"3210 Större vattendrag";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"226011";"";"3260 Mindre vattendrag";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"226030";"";"3260 Mindre vattendrag";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"226022";"";"3210 Större vattendrag";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"226022";"";"3260 Mindre vattendrag";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"226023";"";"3210 Större vattendrag";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"226023";"";"3260 Mindre vattendrag";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"206362";"";"3210 Större vattendrag";"Alpin region (ALP); Boreal region (BOR)"
"206362";"";"3260 Mindre vattendrag";"Alpin region (ALP); Boreal region (BOR)"
"101099";"";"3260 Mindre vattendrag";"Alpin region (ALP)"
"206356";"";"3210 Större vattendrag";"Alpin region (ALP)"
"206356";"";"3260 Mindre vattendrag";"Alpin region (ALP)"
"206331";"";"3260 Mindre vattendrag";"Alpin region (ALP); Boreal region (BOR)"
"206334";"";"3210 Större vattendrag";"Boreal region (BOR); Kontinental region (CON)"
"206334";"";"3260 Mindre vattendrag";"Boreal region (BOR); Kontinental region (CON)"
"206489";"";"3210 Större vattendrag";"Boreal region (BOR); Kontinental region (CON)"
"206489";"";"3260 Mindre vattendrag";"Boreal region (BOR); Kontinental region (CON)"
"206508";"";"3210 Större vattendrag";"Boreal region (BOR); Kontinental region (CON)"
"206508";"";"3260 Mindre vattendrag";"Boreal region (BOR); Kontinental region (CON)"
"217750";"blåröd trollhummer";"8330 Havsgrottor";"Atlantisk marin region (MATL)"
"102838";"småögd trollhummer";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"217759";"rödvit eremitkräfta";"1170 Rev";"Atlantisk marin region (MATL)"
"100407";"flodkräfta";"3110 Näringsfattiga slättsjöar";"Boreal region (BOR); Kontinental region (CON)"
"100407";"flodkräfta";"3130 Ävjestrandsjöar";"Boreal region (BOR); Kontinental region (CON)"
"217764";"europeisk hummer";"1170 Rev";"Atlantisk marin region (MATL)"
"217767";"krabbtaska";"1170 Rev";"Atlantisk marin region (MATL)"
"217782";"långnosig spindelkrabba";"1160 Vikar och sund";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"217785";"strandkrabba";"1160 Vikar och sund";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"217785";"strandkrabba";"1170 Rev";"Atlantisk marin region (MATL)"
"217806";"hästräka";"1110 Sandbankar";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"217806";"hästräka";"1130 Estuarier";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"217806";"hästräka";"1140 Blottade ler- och sandbottnar";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"217809";"tvåtaggig mudderräka";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"217812";"långfingrad tångräka";"1610 Åsöar i Östersjön";"Boreal region (BOR)"
"217812";"långfingrad tångräka";"1110 Sandbankar";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"217812";"långfingrad tångräka";"1130 Estuarier";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"217812";"långfingrad tångräka";"1160 Vikar och sund";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"217813";"kortfingrad tångräka";"1110 Sandbankar";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"217813";"kortfingrad tångräka";"1130 Estuarier";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"217813";"kortfingrad tångräka";"1160 Vikar och sund";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"250117";"rödvit karamellräka";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"243851";"skär glasräka";"1180 Bubbelstrukturer";"Atlantisk marin region (MATL)"
"233408";"vitmärla";"1650 Smala Östersjövikar";"Baltisk marin region (MBAL)"
"233409";"";"1650 Smala Östersjövikar";"Baltisk marin region (MBAL)"
"234368";"nordlig sötvattensmärla";"3210 Större vattendrag";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"234368";"nordlig sötvattensmärla";"3260 Mindre vattendrag";"Alpin region (ALP); Boreal region (BOR); Kontinental region (CON)"
"234369";"sydlig sötvattensmärla";"3210 Större vattendrag";"Boreal region (BOR); Kontinental region (CON)"
"234369";"sydlig sötvattensmärla";"3260 Mindre vattendrag";"Boreal region (BOR); Kontinental region (CON)"
"101726";"";"1650 Smala Östersjövikar";"Baltisk marin region (MBAL)"
"233554";"";"1140 Blottade ler- och sandbottnar";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"233554";"";"1160 Vikar och sund";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"233555";"";"1140 Blottade ler- och sandbottnar";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"233555";"";"1160 Vikar och sund";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"233754";"";"1140 Blottade ler- och sandbottnar";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"233754";"";"1160 Vikar och sund";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"234282";"";"8330 Havsgrottor";"Atlantisk marin region (MATL)"
"261373";"slät havstulpan";"8330 Havsgrottor";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"218751";"husmattvävare";"8330 Havsgrottor";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"248541";"hålmattvävare";"8330 Havsgrottor";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
"218828";"bäckvättespindel";"8330 Havsgrottor";"Atlantisk marin region (MATL); Baltisk marin region (MBAL)"
